timestamp,latency,route,query_length,response_length,qdrant_latency,neo4j_latency
2026-01-21T17:29:45.406444,4.304622650146484,hybrid,73,5290,0.0,0.0
2026-01-21T17:37:40.573005,4.7084760665893555,hybrid,68,6089,0.0,0.0
2026-01-22T09:50:46.100595,3.221125364303589,hybrid,60,3328,0.327160120010376,0.0
2026-01-22T09:51:17.332851,2.252516031265259,hybrid,61,2316,0.3024129867553711,0.0
2026-01-22T09:55:38.567652,1.0600366592407227,hybrid,44,190,0.30308103561401367,0.0
2026-01-22T09:57:22.905988,1.4993927478790283,hybrid,61,752,0.3525846004486084,0.0
2026-01-22T09:57:40.176641,0.6413772106170654,qdrant,39,57,0.23716139793395996,0.0
2026-01-22T09:59:00.109751,1.0677659511566162,hybrid,29,143,0.2256019115447998,0.0
2026-01-22T09:59:34.820740,1.0066680908203125,qdrant,40,451,0.32698845863342285,0.0
2026-01-22T10:00:26.502368,1.2648639678955078,hybrid,62,710,0.2906465530395508,0.0
2026-01-22T11:31:16.002571,0.9039504528045654,hybrid,40,492,0.027608394622802734,0.0
2026-01-22T11:32:24.211248,0.6169791221618652,hybrid,35,577,0.025604724884033203,0.0
2026-01-22T11:54:01.937338,2.2964987754821777,qdrant,30,50,0.41736817359924316,0.0
2026-01-22T11:54:07.752992,0.6580960750579834,qdrant,32,352,0.12234878540039062,0.0
